,id,text,created_at,retweet_count,favorite_count,user_id,user_screen_name,user_name,user_location
0,769045564969349120,Wynonie Harris - Tell a Whale of a Tale #BlindDogRadio https://t.co/pq6J1zJUyd #blues #nowplaying,2016-08-26 05:35:25,0,0,795632389,blinddogradio,Blind Dog Radio,
1,769044937316982785,Sylvester Weaver - Bottleneck Blues #BlindDogRadio https://t.co/pq6J1zJUyd #blues #nowplaying,2016-08-26 05:32:55,0,0,795632389,blinddogradio,Blind Dog Radio,
2,769044840327868416,Who is winning #BCFC v. #Norwich? #NorwichFC #Canaries #Birmingham #Blues #Championship #League #Football⚽️,2016-08-26 05:32:32,0,0,744954894533070848,KoolPoll123,Kool Polls,
3,769044235601444864,Last Call: The Ballad of Mandolin Mike #blues https://t.co/3oBRHq8Ski,2016-08-26 05:30:08,0,0,2844566328,gordyguitar,Learn Blues Guitar,
4,769043860953726977,"@ManCityCatala AVANT, som #blues, som #forts, estem #preparats https://t.co/Fq4wjLW0yB",2016-08-26 05:28:39,0,1,211503550,COMPTE_,COMPTE Poblenou,Barcelona
5,769043835397734400,Big Bill Broonzy - Ridin' Blues #BlindDogRadio https://t.co/pq6J1zJUyd #blues #nowplaying,2016-08-26 05:28:33,0,0,795632389,blinddogradio,Blind Dog Radio,
6,769042584375271427,"#StLouis New ST. LOUIS #Blues Sign FATHEAD NHL Team Logo 27""x8"" https://t.co/e6KQ2uTHR6 #NHL #Hockey https://t.co/y7cpz12Zar",2016-08-26 05:23:34,0,0,711894735514902528,FaithCrossman,Faith Crossman,
7,769042550070120448,#Hear Sting Brand New Day Now on https://t.co/9EvJWnujGS @OfficialSting #jazz #swing #music #blues #smoothjazz #latinjazz,2016-08-26 05:23:26,0,0,3318129469,jvhradionet,Jvhradio,United States
8,769041851437514753,Listening to Situations by Jack Johnson on https://t.co/99ZGXxa5mB! #Blues #np #nowplaying,2016-08-26 05:20:40,0,0,4860399552,Latitude23R,Latitude23 Radio,"Phoenix, AZ"
9,769041362603896832,The latest Blues! https://t.co/gGQKOhpix8 Thanks to @rollinsquadessy @EventsYGK @VanBluesat #music #blues,2016-08-26 05:18:43,0,0,23519496,MaryTMusic,MaryT,West Coast
10,769039204127010816,"[DERNIER CONCERT DE L'ETE]
ce soir Lisa URT sera avec nous à 21h à la maison forestière
#jazz #soul #blues",2016-08-26 05:10:08,0,0,2689753062,Latrancheanims,La Tranche anims,"La Tranche-sur-Mer, France"
11,769039128893743104,when you dont get your shit right. all you wanna do is stay home. #blues #PMshift,2016-08-26 05:09:51,0,0,48884264,itsmeoriGEEnal,Glesa Martine,anywhere around you.:)
12,769038231316926465,"🎸☀🇺🇸
Love the warm #blues #guitars by @BlindFret.
Get the top album  ""One Love""  by hero @BlindFret.  THX :D 
https://t.co/SCE8QowzkY",2016-08-26 05:06:17,0,0,1898274198,JGrabietz70,Jutta Grabietz,Aalen / Germany
13,769038191114543105,"#CoreyHenryandtheTremeFunktet 🎶🎺🎷

#Bywater #NOLA #Galactic #Funk #blues #soul @ Vaughan's Lounge https://t.co/3fvZOhSEb7",2016-08-26 05:06:07,0,0,136034740,ChappyThoughts,Chappy,"Austin, Jewel of Texas"
